# Table de correspondance — reports Albo App (Supabase) -> companies Albo OS (Convex mellow-curlew-738)
# Générée le 02/07/2026 (read-only, aucune écriture). Matching PAR NOM uniquement, strictement intra-org : albo->albo, calte->calte (aucun match cross-org).
# Suite du cadrage CADRAGE_MIGRATION_REPORTS_2026-07-02.md (PR #167). Fichier à curer à la main : colonnes match_propose_OS / id_OS / confiance éditables.
#
# RÉSUMÉ ORG ALBO  : 34 companies source / 183 reports — 30 exact, 1 haute, 2 moyenne, 1 aucune
# RÉSUMÉ ORG CALTE : 82 companies source / 207 reports — 16 exact, 46 haute, 17 moyenne, 3 aucune
# TOTAL            : 116 companies source / 390 reports — 46 exact, 47 haute, 19 moyenne, 4 aucune
#
# Confiance : exact = nom identique (casse/espaces près) ; haute = variation évidente (accents, préfixe/suffixe SIDE/ASTERION, alias entre parenthèses) ;
#             moyenne = plausible mais à trancher (plusieurs candidats, nom produit vs véhicule) ; aucune = pas de correspondance dans le vivier de l'org.
#
# DOUBLONS OS DÉTECTÉS (signalés, non résolus — org calte sauf mention) :
#  - "ASTERION SIDE ONIMA (ex:YEASTY)" x2 : jx7csjxyd8kne6mq1s03pb307587sveg / jx7cjv10jz9n1ez90vswy0z5rd87snx5
#  - "COEUR PIGALLE" x2 : jx7bw98edracbjs9kcqw2dpnrs87rebe / jx7dxbp40qfy14pky4fkqybt8987rakm
#  - "RDB" x2 en portfolio (jx7eqe5g16qvnvhbqp0k4jf8q587sta9 / jx73k3xwa1f614jaddg7k630q587r53r) + 1 en group_operating
#  - "FLEXLIVING" (jx79rp6ptbzz6yvn2nscv16h3587sw9n) vs "FLEX LIVING" (jx728qebawmwfj08h49z37110s87rs66)
#  - Entités group_* dupliquées en portfolio : CALTIMO, Banco 2, SCI CHAPELLE, SCI CHAPELLE 2, SCI UPLOAD, SAS RELAIS CHAPELLE
#  - Trio confus : "Good TECH LAB" / "TECH LAB (The Good factory)" / "THE GOOD FACTORY (Drink Dong)"
#  - Bruit cross-org : des homonymes de companies albo existent en calte (Eben Home, WARO, Upcyclea, HECTAREA, The Fat Broccoli, JEEN, REWATT, SEZAME…) — hors vivier par la règle de routage, listés à titre de signal.
#
# PROBLÈMES ADJACENTS (remontés, non corrigés) :
#  - CrushON (calte) : period_sort_date NULL sur son unique report (période inconnue).
#  - iArtisan (calte) : son unique report est archivé, ET sa cible OS est la même que celle de "Renovation Man" -> 2 companies source vers 1 company OS, à arbitrer ensemble.
#  - Reports avec lignes archivées/duplicates dans le lot : voir colonne note (AZmed, Eben Home, Jeen albo, Keenest, Tango, Wandercraft, Waro, Capté, Corma, Ordalie, Stockoss, Virgil Properties).
#  - Le workspace OPRTRS séparé (34 reports) reste hors périmètre (cf. cadrage D3) ; "OPRTRS CLUB" ci-dessous ne couvre que les 4 reports du workspace CALTE portfolio.
#
org,nom_source,nb_reports,periode,match_propose_OS,id_OS,confiance,doublon_OS_possible,note
albo,ACT Running,6,2025-02→2026-05,ACT Running,jx7dazc018z5t2g9pf75my07k987rbt1,exact,,
albo,AZmed,15,2024-01→2026-06,AZmed,jx787ry5qajvmtxmpxn6zzqzf187r6bb,exact,,"1 report archivé + 1 is_duplicate dans le lot"
albo,BackMarket,1,2026-01→2026-01,BackMarket,jx7c2j6x8zm19cg2dky1nfdv6x87sfy5,exact,,
albo,Beyond Green,4,2025-01→2026-02,Beyond Green,jx78qs3pr8tq0ksxtywz5rrq6587rdmt,exact,,
albo,Bleen,5,2025-01→2025-12,Bleen,jx770j9q5sqva04t4gkq3fyerd87s6fz,exact,,
albo,Carbonfarm,1,2026-05→2026-05,CarbonFarm,jx7f66x612xx0zrzce4k41a9rh87shkp,exact,,"Casse : Carbonfarm vs CarbonFarm"
albo,Cockpit Agriculture,6,2025-10→2026-04,Cockpit Agriculture,jx77vx2npwy75w80xdmcgrs04987s3ea,exact,,
albo,Eben Home,25,2024-04→2026-04,Eben Home,jx71nk6w56zzbngapd4pzvj59x87r7d2,exact,,"2 is_duplicate dans le lot ; homonyme « Eben Home » côté org calte (hors vivier)"
albo,Eclo Beauty,9,2024-01→2026-06,Eclo Beauty,jx78d1g9n2868k4g9az7ag4b8s87sk5t,exact,,
albo,Genomines,1,2025-12→2025-12,Genomines,jx7d25nz1ed4q0p9xd875py76587r4g3,exact,,
albo,Goodvest,11,2025-07→2026-05,Goodvest,jx72ej20pak0mqq05hshae3ayn87rjvy,exact,,
albo,Hectarea,1,2025-01→2025-01,Hectarea,jx79z9rcha003f9910kh88f64s87rs51,exact,,"Homonyme « HECTAREA » côté org calte (hors vivier)"
albo,Jeen,7,2025-11→2026-05,Jeen,jx7ez9pt7m8a6jab1zyfseawgd87rgxf,exact,,"2 reports archivés dans le lot ; distincte de « Jeen » org calte"
albo,JOONE Paris,3,2025-12→2026-05,JOONE Paris,jx7e35h5h91mmk8nw531yq482s87r1nn,exact,,
albo,Keenest,3,2025-02→2025-07,Keenest,jx7c3wgzp70vn1hftqb1p6wv9987ranq,exact,,"2 reports archivés dans le lot"
albo,Komeet,2,2025-07→2025-10,Komeet,jx78h5ac4qbqva6bdfqz9kbn7d87smbh,exact,,"Distincte de « Komeet » org calte (cf. ligne calte → SIDE WENABI)"
albo,Les constructeurs du bois,2,2026-03→2026-03,Les constructeurs du bois,jx7901c7f8zvbm3vryrkgcssmh87rhh3,exact,,
albo,Losanje,2,2025-04→2025-07,Losanje,jx728f588hby64q8y4c7twcb9587sz2v,exact,,
albo,Ouisub,5,2025-12→2026-04,Ouisub,jx78942c82np78n3gvyy7s4e5187s975,exact,,
albo,Reekom,2,2026-01→2026-01,Reekom,jx71fa19ezp2vzaaj0k09gkmzn87rq97,exact,,
albo,RegenSchool,3,2025-09→2026-03,RegenSchool,jx774qf54r5v58sxaew582x76587rtmt,exact,,
