# Mapping résolu — reports Albo App (Supabase) -> entités Albo OS (Convex mellow-curlew-738)
# Généré le 02/07/2026 (Lot 0, read-only). Une ligne par report source (390). Règle : domaine d'abord
# (union portfolio_companies.domain + company_domains, normalisé), fallback nom via MAPPING_REPORTS_COMPANIES_2026-07-02.csv
# (PR #168) quand un des deux côtés n'a pas de domaine ; conflit de domaines = exclu et signalé. Routage strict albo->albo, calte->calte.
# Fan-out : un report est rattaché à CHAQUE entité OS qui matche (colonne nb_cibles ; cibles séparées par " | ").
# ⚠️ Domaines OS lus par proxy (attioAlboImport.ts + Airtable) — à re-vérifier par dry-run Convex au Lot 1 (cf. LOT0_MIGRATION_REPORTS_2026-07-02.md).
# methode : domaine / nom / mixte (domaine + nom) / orphelin. Colonnes archive/doublon_source/statut = flags source (décision D5 ouverte).
org,report_id,societe_source,periode,period_sort_date,archive,doublon_source,statut,methode,nb_cibles,cibles_OS,conflits_domaine_exclus,note
albo,79bc0fd0-45b9-438c-aa2f-2dcec43a7c73,ACT Running,February 2025,2025-02-01,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,c8e518d2-4769-470b-bee4-f9af100c8977,ACT Running,February 2026,2026-02-01,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,8f41fdbe-e479-4716-af73-cf4952b72327,ACT Running,April 2026,2026-04-01,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,d9462239-8610-4a06-b3d1-4377261ca5c7,ACT Running,May 2026,2026-05-01,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,346a0824-c6c2-4deb-ab7c-8743e0ad5b7f,ACT Running,Octobre 2025,,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,0f47cfeb-61e4-4cb3-a873-6d0af8d09da4,ACT Running,2025 - 2026,,,,completed,domaine,1,jx7dazc018z5t2g9pf75my07k987rbt1:ACT Running,,
albo,9461cc5c-5082-42ef-8906-8f9695195454,AZmed,2024,2024-01-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,c40ebcf2-1187-4f98-9bf4-15c7556251a1,AZmed,November 2024,2024-11-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,c2465a9a-9948-45a8-8e74-950beb69ed4c,AZmed,January 2025,2025-01-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
albo,b26b6912-9350-46ed-be1b-3a59c712cc23,AZmed,2025,2025-01-01,,,completed,domaine,1,jx787ry5qajvmtxmpxn6zzqzf187r6bb:AZmed,,
